|                 start |                  stop |        tstart |         tstop |       dur | rel_tstart |                 manvr |      ra |     dec |    roll |
| 2020:179:08:35:34.679 | 2020:179:12:48:07.255 | 709634203.863 | 709649356.439 | 15152.576 |    118.900 | 2020:179:08:07:27.016 |  81.317 | -69.637 | 167.054 |
| 2020:179:13:11:46.880 | 2020:179:16:59:31.156 | 709650776.064 | 709664440.340 | 13664.276 |     94.300 | 2020:179:12:48:18.017 |  80.400 | -21.050 | 159.494 |
| 2020:179:17:27:04.481 | 2020:179:21:53:09.882 | 709666093.665 | 709682059.066 | 15965.401 |     84.050 | 2020:179:16:59:41.918 |  46.700 |  14.100 | 108.811 |
| 2020:179:22:01:21.882 | 2020:179:23:20:35.832 | 709682551.066 | 709687305.016 |  4753.950 |  16541.451 | 2020:179:16:59:41.918 |  46.700 |  14.100 | 108.811 |
| 2020:179:23:55:12.482 | 2020:180:00:59:54.157 | 709689381.666 | 709693263.341 |  3881.675 |     69.700 | 2020:179:23:20:46.595 | 116.000 |  70.000 | 336.365 |
| 2020:180:01:40:30.583 | 2020:180:11:54:18.835 | 709695699.767 | 709732528.019 | 36828.252 |    131.200 | 2020:180:01:00:04.920 | 275.854 | -13.661 | 177.005 |
| 2020:180:12:32:45.085 | 2020:180:19:31:28.861 | 709734834.269 | 709759958.045 | 25123.777 |    135.300 | 2020:180:11:54:29.597 | 146.711 |  76.399 | 305.319 |
| 2020:180:20:07:10.087 | 2020:181:04:29:33.288 | 709762099.271 | 709792242.472 | 30143.202 |    115.825 | 2020:180:19:31:39.624 | 282.227 |  -1.490 | 169.487 |
| 2020:181:05:06:35.489 | 2020:181:05:11:32.739 | 709794464.673 | 709794761.923 |   297.250 |    111.725 | 2020:181:04:29:43.026 | 302.475 | -32.618 |  72.176 |
| 2020:181:05:31:31.989 | 2020:181:18:46:10.892 | 709795961.173 | 709843640.076 | 47678.903 |     79.950 | 2020:181:05:11:43.501 | 342.582 | -44.887 |  89.765 |
| 2020:181:19:13:30.892 | 2020:182:00:49:13.168 | 709845280.076 | 709865422.352 | 20142.276 |    115.825 | 2020:181:18:46:21.654 |  44.564 |  -8.970 | 122.254 |
| 2020:182:01:23:44.693 | 2020:182:04:09:10.794 | 709867493.877 | 709877419.978 |  9926.101 |    139.400 | 2020:182:00:49:23.930 | 304.504 | -28.154 |  83.350 |
| 2020:182:04:29:12.094 | 2020:182:05:22:13.694 | 709878621.278 | 709881802.878 |  3181.600 |     77.900 | 2020:182:04:09:20.531 | 293.000 | -19.000 | 110.394 |
| 2020:182:05:59:48.694 | 2020:182:11:02:40.920 | 709884057.878 | 709902230.104 | 18172.226 |     87.125 | 2020:182:05:22:24.456 | 277.000 | -39.000 | 351.939 |
| 2020:182:11:39:33.895 | 2020:182:12:15:49.970 | 709904443.079 | 709906619.154 |  2176.075 |     82.000 | 2020:182:11:02:51.683 | 294.276 | -19.363 | 108.070 |
| 2020:182:12:54:47.996 | 2020:182:14:45:26.921 | 709908957.180 | 709915596.105 |  6638.925 |    128.125 | 2020:182:12:16:00.733 |  44.056 |  24.773 | 100.394 |
| 2020:182:14:50:37.496 | 2020:182:16:16:49.646 | 709915906.680 | 709921078.830 |  5172.150 |     59.450 | 2020:182:14:45:37.683 |  44.056 |  24.773 | 100.404 |
| 2020:182:16:38:31.396 | 2020:183:01:01:03.823 | 709922380.580 | 709952533.007 | 30152.427 |    106.600 | 2020:182:16:17:00.409 |   1.601 |  20.188 | 114.993 |
| 2020:183:01:31:31.398 | 2020:183:01:36:16.348 | 709954360.582 | 709954645.532 |   284.950 |    124.025 | 2020:183:01:01:14.586 | 293.346 | -18.656 | 112.079 |
| 2020:183:02:23:47.899 | 2020:183:08:00:07.075 | 709957497.083 | 709977676.259 | 20179.176 |     79.950 | 2020:183:01:36:27.111 | 260.135 | -35.498 | 299.988 |
